Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive_sca,PassDead_sca,Drib_sca,Sh_sca,Fld_sca,Def_sca,GCA,GCA90,PassLive_gca,PassDead_gca,Drib_gca,Sh_gca,Fld_gca,Def_gca,Pass SCA Ratio,Deadball SCA Ratio,Dribble SCA Ratio,Shot SCA Ratio,Fouls Drawn SCA Ratio,Defense SCA Ratio,Cluster
1,Brenden Aaronson,us USA,MF,Leeds United,21,2000,26.4,95,3.6,57,17,7,5,8,1,7,0.27,3,1,0,1,1,1,0.6,0.17894736842105263,0.07368421052631578,0.05263157894736842,0.08421052631578947,0.010526315789473684,1
3,Che Adams,sct SCO,FW,Southampton,26,1996,22.1,57,2.57,44,1,2,5,5,0,7,0.32,5,0,0,0,2,0,0.7719298245614035,0.017543859649122806,0.03508771929824561,0.08771929824561403,0.08771929824561403,0.0,5
4,Tyler Adams,us USA,MF,Leeds United,23,1999,24.0,43,1.79,42,0,0,0,1,0,1,0.04,1,0,0,0,0,0,0.9767441860465116,0.0,0.0,0.0,0.023255813953488372,0.0,3
13,Thiago Alcántara,es ESP,MF,Liverpool,31,1991,13.9,41,2.94,33,0,3,1,1,3,2,0.14,2,0,0,0,0,0,0.8048780487804879,0.0,0.07317073170731707,0.024390243902439025,0.024390243902439025,0.07317073170731707,5
15,Trent Alexander-Arnold,eng ENG,DF,Liverpool,23,1998,32.5,124,3.82,81,34,3,5,1,0,17,0.52,14,2,1,0,0,0,0.6532258064516129,0.27419354838709675,0.024193548387096774,0.04032258064516129,0.008064516129032258,0.0,1
18,Miguel Almirón,py PAR,FW,Newcastle Utd,28,1994,27.7,87,3.14,63,2,10,9,3,0,13,0.47,5,1,5,2,0,0,0.7241379310344828,0.022988505747126436,0.11494252873563218,0.10344827586206896,0.034482758620689655,0.0,5
19,Julián Álvarez,ar ARG,FW,Manchester City,22,2000,16.3,52,3.2,39,0,6,5,2,0,5,0.31,2,0,1,1,1,0,0.75,0.0,0.11538461538461539,0.09615384615384616,0.038461538461538464,0.0,5
24,Jaidon Anthony,eng ENG,MF,Bournemouth,22,1999,14.0,38,2.72,28,3,4,1,1,1,4,0.29,2,0,1,0,1,0,0.7368421052631579,0.07894736842105263,0.10526315789473684,0.02631578947368421,0.02631578947368421,0.02631578947368421,5
25,Michail Antonio,jm JAM,FW,West Ham,32,1990,20.3,39,1.92,24,0,6,4,5,0,9,0.44,6,0,2,1,0,0,0.6153846153846154,0.0,0.15384615384615385,0.10256410256410256,0.1282051282051282,0.0,0
26,Antony,br BRA,FW,Manchester Utd,22,2000,20.0,74,3.69,61,0,5,3,4,1,7,0.35,6,0,1,0,0,0,0.8243243243243243,0.0,0.06756756756756757,0.04054054054054054,0.05405405405405406,0.013513513513513514,3
