Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
1,Max Aarons,eng ENG,DF,Bournemouth,23-312,2000,12,11,950,10.6,0,1,1,0,0,0,1,0,0,0,0.8,0.8,16,31,19,0,0.09,0.09,0,0.09,0,0.08,0.08,0,0.08
2,Bénie Adama Traore,ci CIV,"FW,MF",Sheffield Utd,20-347,2002,6,3,325,3.6,0,0,0,0,0,0,0,0,0.3,0.3,0.5,0.7,7,9,13,0,0,0,0,0,0.07,0.13,0.2,0.07,0.2
3,Tosin Adarabioyo,eng ENG,DF,Fulham,26-049,1997,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Elijah Adebayo,eng ENG,FW,Luton Town,25-309,1998,12,4,387,4.3,2,0,2,2,0,0,0,0,1.4,1.4,0.3,1.7,4,7,27,0.47,0,0.47,0.47,0.47,0.32,0.06,0.39,0.32,0.39
5,Simon Adingra,ci CIV,"FW,MF",Brighton,21-315,2002,10,6,576,6.4,2,1,3,2,0,0,0,0,1,1,1.3,2.3,18,11,54,0.31,0.16,0.47,0.31,0.47,0.15,0.2,0.35,0.15,0.35
6,Nayef Aguerd,ma MAR,DF,West Ham,27-227,1996,10,10,876,9.7,1,0,1,1,0,0,2,1,0.9,0.9,0,0.9,6,22,0,0.1,0,0.1,0.1,0.1,0.09,0,0.09,0.09,0.09
7,Naouirou Ahamada,fr FRA,"MF,FW",Crystal Palace,21-228,2002,6,0,82,0.9,0,0,0,0,0,0,0,0,0,0,0,0,6,7,8,0,0,0,0,0,0,0,0,0,0
8,Anel Ahmedhodžić,ba BIH,DF,Sheffield Utd,24-231,1999,8,8,720,8,0,0,0,0,0,0,3,0,0.9,0.9,0,0.9,3,11,10,0,0,0,0,0,0.11,0,0.11,0.11,0.11
9,Ola Aina,ng NGA,"DF,MF",Nott'ham Forest,27-035,1996,8,7,553,6.1,1,0,1,1,0,0,3,0,0.1,0.1,0.2,0.3,12,15,5,0.16,0,0.16,0.16,0.16,0.02,0.04,0.06,0.02,0.06
10,Rayan Aït Nouri,dz ALG,"DF,MF",Wolves,22-159,2001,12,11,870,9.7,0,0,0,0,0,0,4,0,1.2,1.2,0.8,2,18,45,38,0,0,0,0,0,0.13,0.08,0.21,0.13,0.21
11,Kristoffer Ajer,no NOR,DF,Brentford,25-209,1998,9,6,546,6.1,0,1,1,0,0,0,2,0,0.6,0.6,1.5,2.1,12,21,17,0,0.16,0.16,0,0.16,0.1,0.24,0.34,0.1,0.34
12,Manuel Akanji,ch SUI,DF,Manchester City,28-116,1995,8,8,719,8,1,0,1,1,0,0,3,1,0.1,0.1,0.2,0.3,12,33,8,0.13,0,0.13,0.13,0.13,0.01,0.02,0.04,0.01,0.04
13,Nathan Aké,nl NED,DF,Manchester City,28-267,1995,9,6,553,6.1,2,0,2,2,0,0,0,0,1.1,1.1,0.6,1.7,10,37,8,0.33,0,0.33,0.33,0.33,0.18,0.1,0.27,0.18,0.27
14,Trent Alexander-Arnold,eng ENG,DF,Liverpool,25-036,1998,9,8,688,7.6,0,1,1,0,0,0,3,0,0.5,0.5,1.9,2.4,20,51,25,0,0.13,0.13,0,0.13,0.06,0.24,0.31,0.06,0.31
15,Alisson,br BRA,GK,Liverpool,31-041,1992,11,11,990,11,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
16,Miguel Almirón,py PAR,FW,Newcastle Utd,29-275,1994,12,10,748,8.3,2,0,2,2,0,0,1,0,1.3,1.3,0.4,1.7,36,32,69,0.24,0,0.24,0.24,0.24,0.15,0.05,0.21,0.15,0.21
17,Edson Álvarez,mx MEX,MF,West Ham,26-019,1997,9,8,681,7.6,0,1,1,0,0,0,5,0,0.3,0.3,0.1,0.4,4,18,7,0,0.13,0.13,0,0.13,0.04,0.01,0.05,0.04,0.05
18,Julián Álvarez,ar ARG,"MF,FW",Manchester City,23-285,2000,11,11,907,10.1,4,3,7,4,0,0,2,0,3.1,3.1,1.6,4.7,22,38,60,0.4,0.3,0.69,0.4,0.69,0.31,0.16,0.47,0.31,0.47
19,Zeki Amdouni,ch SUI,"FW,MF",Burnley,22-343,2000,11,11,739,8.2,1,0,1,1,0,0,1,0,1.9,1.9,0.3,2.2,23,16,28,0.12,0,0.12,0.12,0.12,0.23,0.03,0.27,0.23,0.27
20,Sofyan Amrabat,ma MAR,"MF,DF",Manchester Utd,27-083,1996,5,4,313,3.5,0,0,0,0,0,0,2,0,0,0,0.1,0.1,4,36,4,0,0,0,0,0,0.01,0.03,0.04,0.01,0.04
21,Joachim Andersen,dk DEN,DF,Crystal Palace,27-165,1996,12,12,"1,080",12,2,1,3,2,0,0,2,0,0.7,0.7,1.3,2,12,69,5,0.17,0.08,0.25,0.17,0.25,0.06,0.1,0.17,0.06,0.17
22,Elliot Anderson,sct SCO,"MF,FW",Newcastle Utd,21-006,2002,9,4,411,4.6,0,1,1,0,0,0,0,0,0.7,0.7,0.9,1.6,14,26,33,0,0.22,0.22,0,0.22,0.16,0.19,0.35,0.16,0.35
23,Jaidon Anthony,eng ENG,FW,Bournemouth,23-346,1999,3,2,152,1.7,0,0,0,0,0,0,1,0,0.1,0.1,0,0.1,2,8,9,0,0,0,0,0,0.04,0,0.04,0.04,0.04
24,Michail Antonio,jm JAM,FW,West Ham,33-229,1990,11,11,801,8.9,2,2,4,2,0,0,2,0,1.8,1.8,0.7,2.5,25,10,45,0.22,0.22,0.45,0.22,0.45,0.21,0.08,0.28,0.21,0.28
25,Antony,br BRA,"FW,MF",Manchester Utd,23-261,2000,9,6,489,5.4,0,0,0,0,0,0,2,0,0.8,0.8,1.1,1.8,20,25,71,0,0,0,0,0,0.14,0.2,0.34,0.14,0.34
26,Cameron Archer,eng ENG,FW,Sheffield Utd,22-114,2001,8,7,622,6.9,2,0,2,2,0,0,1,0,0.6,0.6,0.5,1.2,7,7,36,0.29,0,0.29,0.29,0.29,0.09,0.08,0.17,0.09,0.17
27,Cameron Archer,eng ENG,MF,Aston Villa,22-114,2001,1,0,6,0.1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
28,Alphonse Areola,fr FRA,GK,West Ham,30-258,1993,11,11,990,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
29,Serge Aurier,ci CIV,"DF,MF",Nott'ham Forest,30-323,1992,10,9,728,8.1,0,2,2,0,0,0,2,0,0.1,0.1,0.5,0.6,10,35,25,0,0.25,0.25,0,0.25,0.01,0.06,0.07,0.01,0.07
30,Taiwo Awoniyi,ng NGA,FW,Nott'ham Forest,26-092,1997,9,7,591,6.6,3,2,5,3,0,0,1,0,2.3,2.3,0.8,3.1,6,9,23,0.46,0.3,0.76,0.46,0.76,0.36,0.12,0.47,0.36,0.47
31,Jordan Ayew,gh GHA,"FW,MF",Crystal Palace,32-062,1991,12,12,"1,014",11.3,1,3,4,1,0,0,4,0,1.7,1.7,1.9,3.6,34,27,86,0.09,0.27,0.36,0.09,0.36,0.15,0.17,0.32,0.15,0.32
32,Leon Bailey,jm JAM,"MF,FW",Aston Villa,26-095,1997,9,2,317,3.5,3,2,5,3,0,0,1,0,1.9,1.9,1.6,3.4,19,10,43,0.85,0.57,1.42,0.85,1.42,0.53,0.44,0.97,0.53,0.97
33,George Baldock,gr GRE,"DF,MF",Sheffield Utd,30-248,1993,5,4,360,4,0,0,0,0,0,0,2,0,0,0,0.2,0.2,2,10,13,0,0,0,0,0,0,0.04,0.04,0,0.04
34,Carlos Baleba,cm CMR,MF,Brighton,19-313,2004,5,3,247,2.7,0,0,0,0,0,0,1,0,0.3,0.3,0,0.3,2,7,0,0,0,0,0,0,0.1,0.02,0.12,0.1,0.12
35,Shandon Baptiste,gd GRN,MF,Brentford,25-218,1998,1,0,19,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Ross Barkley,eng ENG,MF,Luton Town,29-342,1993,7,5,445,4.9,0,0,0,0,0,0,0,0,0.6,0.6,0.6,1.2,9,26,5,0,0,0,0,0,0.12,0.12,0.24,0.12,0.24
